, 520 
-1 , 3.743941E-03 
-0.99 ,-1.764499E-04 
-0.98 , 2.281056E-03 
-0.97 , 1.323683E-03 
-0.96 , 8.685492E-04 
-0.95 ,-1.354758E-03 
-0.94 ,-2.123454E-03 
-0.93 , 2.783342E-03 
-0.92 ,-3.296498E-03 
-0.91 , 1.005037E-03 
-0.9 , 1.870491E-03 
-0.89 ,-1.671446E-03 
-0.88 , 3.743941E-03 
-0.87 ,-1.128426E-03 
-0.86 , 6.315901E-03 
-0.85 ,-8.569079E-05 
-0.84 , 1.597014E-03 
-0.83 , 2.783342E-03 
-0.82 , 7.775904E-04 
-0.81 ,-2.484732E-03 
-0.8 ,-4.286604E-03 
-0.79 ,-8.569079E-05 
-0.78 ,-7.660171E-04 
-0.77 , 9.59554E-04 
-0.76 ,-3.206389E-03 
-0.75 ,-2.033101E-03 
-0.74 ,-4.376516E-03 
-0.73 ,-3.701826E-03 
-0.72 ,-1.942729E-03 
-0.71 , 1.551443E-03 
-0.7 , 3.515029E-03 
-0.69 ,-2.349295E-03 
-0.68 , 1.278167E-03 
-0.67 ,-3.341559E-03 
-0.66 , 2.829043E-03 
-0.65 ,-8.569079E-05 
-0.64 ,-2.575018E-03 
-0.63 , 1.867276E-04 
-0.62 ,-2.033101E-03 
-0.61 ,-3.926822E-03 
-0.6 ,-2.213815E-03 
-0.59 ,-1.30949E-03 
-0.58 ,-4.940252E-04 
-0.57 ,-3.746819E-03 
-0.56 ,-1.490506E-03 
-0.55 , 1.597014E-03 
-0.54 , 3.377751E-03 
-0.53 ,-1.264245E-03 
-0.52 ,-5.229596E-03 
-0.51 , 3.194771E-03 
-0.5 ,-3.611774E-03 
-0.49 , 0.0042021 
-0.48 , 2.37233E-03 
-0.47 , 5.502361E-04 
-0.46 , 0.0042021 
-0.45 ,-3.579384E-04 
-0.44 , 2.966148E-03 
-0.43 , 2.60064E-03 
-0.42 , 4.477222E-03 
-0.41 ,-5.139886E-03 
-0.4 , 4.138915E-04 
-0.39 , 8.230538E-04 
-0.38 , 9.591148E-05 
-0.37 ,-1.716676E-03 
-0.36 , 5.957029E-04 
-0.35 ,-2.218359E-04 
-0.34 , 1.369231E-03 
-0.33 , 2.829043E-03 
-0.32 , 1.870491E-03 
-0.31 ,-4.029058E-05 
-0.3 ,-3.296498E-03 
-0.29 ,-4.033054E-04 
-0.28 , 0.0042021 
-0.27 , 7.321046E-04 
-0.26 ,-2.529878E-03 
-0.25 ,-6.75354E-04 
-0.24 ,-6.75354E-04 
-0.23 , 6.411744E-04 
-0.22 ,-6.300425E-04 
-0.21 , 1.413307E-04 
-0.2 , 1.187096E-03 
-0.19 ,-1.037839E-03 
-0.18 ,-2.980993E-03 
-0.17 , 1.916096E-03 
-0.16 ,-2.218359E-04 
-0.15 ,-4.029058E-05 
-0.14 ,-1.671446E-03 
-0.13 ,-6.300425E-04 
-0.12 , 1.688145E-03 
-0.11 , 3.240516E-03 
-0.1 , 3.240516E-03 
-0.09 ,-4.029058E-05 
-0.08 ,-1.807095E-03 
-0.07 , 5.993572E-03 
-0.06 , 4.138915E-04 
-0.05 ,-4.029058E-05 
-0.04 , 5.625481E-03 
-0.03 , 8.685492E-04 
-0.02 ,-4.421438E-03 
-0.01 ,-0.1329379 
 0 ,-0.1586664 
 0.01 ,-8.409497E-02 
 0.02 , 9.975049E-02 
 0.03 , 0.1538836 
 0.04 , 0.1637654 
 0.05 , 0.1713778 
 0.06 , 0.1701669 
 0.07 , 0.1658888 
 0.08 , 0.1622456 
 0.09 , 0.1675549 
 0.1 , 0.1682901 
 0.11 , 0.1690264 
 0.12 , 0.1710411 
 0.13 , 0.1650914 
 0.14 , 0.1600087 
 0.15 , 0.1583059 
 0.16 , 0.1509816 
 0.17 , 0.1502751 
 0.18 , 0.1492496 
 0.19 , 0.1543367 
 0.2 , 0.1509815 
 0.21 , 0.1487378 
 0.22 , 0.1446013 
 0.23 , 0.1474608 
 0.24 , 0.144538 
 0.25 , 0.1396264 
 0.26 , 0.1393134 
 0.27 , 0.1381262 
 0.28 , 0.1346459 
 0.29 , 0.1308863 
 0.3 , 0.1292937 
 0.31 , 0.1285606 
 0.32 , 0.1238254 
 0.33 , 0.1212969 
 0.34 , 0.1258225 
 0.35 , 0.1245506 
 0.36 , 0.1215972 
 0.37 , 0.1275851 
 0.38 , 0.120757 
 0.39 , 0.1260652 
 0.4 , 0.1194998 
 0.41 , 0.1128557 
 0.42 , 0.1198586 
 0.43 , 0.1136807 
 0.44 , 0.1139167 
 0.45 , 0.1142119 
 0.46 , 0.1133269 
 0.47 , 0.11575 
 0.48 , 0.1067758 
 0.49 , 0.1091626 
 0.5 , 0.1051533 
 0.51 , 0.1070081 
 0.52 , 0.1021562 
 0.53 , 0.1013528 
 0.54 , 0.1002077 
 0.55 , 0.1027885 
 0.56 , 9.639335E-02 
 0.57 , 9.667683E-02 
 0.58 , 9.906556E-02 
 0.59 , 9.435759E-02 
 0.6 , 9.020269E-02 
 0.61 , 9.205063E-02 
 0.62 , 8.880795E-02 
 0.63 , 8.708467E-02 
 0.64 , 0.0913217 
 0.65 , 9.463975E-02 
 0.66 , 9.143378E-02 
 0.67 , 0.0858105 
 0.68 , 8.597648E-02 
 0.69 , 8.360343E-02 
 0.7 , 8.542345E-02 
 0.71 , 8.653021E-02 
 0.72 , 0.0823943 
 0.73 , 0.0824492 
 0.74 , 8.431952E-02 
 0.75 , 8.053224E-02 
 0.76 , 7.862374E-02 
 0.77 , 7.786268E-02 
 0.78 , 7.775408E-02 
 0.79 , 7.927715E-02 
 0.8 , 7.429269E-02 
 0.81 , 7.666941E-02 
 0.82 , 6.840714E-02 
 0.83 , 6.957786E-02 
 0.84 , 7.694034E-02 
 0.85 , 7.117942E-02 
 0.86 , 7.289433E-02 
 0.87 , 7.075178E-02 
 0.88 , 0.0718753 
 0.89 , 7.107248E-02 
 0.9 , 6.803526E-02 
 0.91 , 6.984439E-02 
