, 530 
-0.2 ,-9.568869E-04 
-0.198 , 1.576863E-03 
-0.196 ,-8.462015E-06 
-0.194 , 1.032659E-03 
-0.192 , 2.628897E-04 
-0.19 ,-5.36798E-05 
-0.188 , 1.724293E-04 
-0.186 ,-1.440743E-04 
-0.184 , 8.061292E-04 
-0.182 , 6.249739E-04 
-0.18 ,-1.633075E-03 
-0.178 , 3.081404E-04 
-0.176 ,-5.506842E-04 
-0.174 , 2.628897E-04 
-0.172 ,-1.678124E-03 
-0.17 , 2.628897E-04 
-0.168 , 2.485361E-03 
-0.166 ,-4.603474E-04 
-0.164 ,-1.440743E-04 
-0.162 , 3.533959E-04 
-0.16 ,-1.272569E-03 
-0.158 , 2.43991E-03 
-0.156 ,-5.055182E-04 
-0.154 ,-1.858246E-03 
-0.152 , 8.061292E-04 
-0.15 ,-8.215282E-04 
-0.148 ,-1.002006E-03 
-0.146 , 1.667617E-03 
-0.144 ,-9.889288E-05 
-0.142 ,-1.227505E-03 
-0.14 ,-1.89278E-04 
-0.138 ,-6.409753E-04 
-0.136 ,-1.813216E-03 
-0.134 ,-1.002006E-03 
-0.132 ,-7.312746E-04 
-0.13 , 1.16864E-03 
-0.128 , 1.16864E-03 
-0.126 , 1.440755E-03 
-0.124 ,-2.443108E-03 
-0.122 ,-9.568869E-04 
-0.12 , 1.53148E-03 
-0.118 ,-1.362737E-03 
-0.116 , 1.758416E-03 
-0.114 , 1.271926E-04 
-0.112 ,-6.409753E-04 
-0.11 ,-1.89278E-04 
-0.108 , 8.967217E-04 
-0.106 ,-3.475967E-03 
-0.104 , 8.514096E-04 
-0.102 ,-2.796712E-04 
-0.1 ,-1.182409E-03 
-0.098 ,-1.452859E-03 
-9.600001E-02 ,-5.958456E-04 
-0.094 , 1.849208E-03 
-9.200001E-02 , 1.123326E-03 
-0.09 , 5.34411E-04 
-8.800001E-02 ,-1.227505E-03 
-0.086 ,-2.344769E-04 
-8.400001E-02 ,-1.272569E-03 
-0.082 ,-5.36798E-05 
-8.000001E-02 ,-9.568869E-04 
-7.800001E-02 , 1.53148E-03 
-7.600001E-02 , 2.258072E-03 
-7.400001E-02 , 5.796901E-04 
-0.072 , 7.608265E-04 
-7.000001E-02 , 2.167168E-03 
-0.068 ,-1.047121E-03 
-6.600001E-02 , 8.196072E-05 
-0.064 ,-1.497927E-03 
-6.200001E-02 ,-6.861273E-04 
-6.000001E-02 , 4.43894E-04 
-5.800001E-02 , 7.608265E-04 
-5.600001E-02 , 1.259335E-03 
-5.400001E-02 , 3.986291E-04 
-0.052 ,-1.440743E-04 
-0.05 ,-8.215282E-04 
-4.800001E-02 , 2.485361E-03 
-4.600001E-02 ,-6.409753E-04 
-4.400001E-02 , 9.420386E-04 
-4.200001E-02 ,-1.09223E-03 
-4.000001E-02 , 1.123326E-03 
-3.800001E-02 , 2.628897E-04 
-3.600001E-02 , 1.53148E-03 
-3.400001E-02 , 1.259335E-03 
-3.200001E-02 , 4.891637E-04 
-3.000001E-02 ,-4.603474E-04 
-2.800001E-02 ,-1.002006E-03 
-2.600001E-02 ,-5.958456E-04 
-2.400001E-02 , 6.702624E-04 
-2.200001E-02 ,-1.678124E-03 
-2.000001E-02 , 2.167168E-03 
-1.800001E-02 , 1.713014E-03 
-1.600001E-02 ,-2.796712E-04 
-1.400001E-02 , 1.894624E-03 
-1.200001E-02 ,-2.263228E-03 
-1.000001E-02 , 1.271926E-04 
-8.000007E-03 , 1.16864E-03 
-6.000008E-03 ,-1.89278E-04 
-4.000007E-03 ,-8.462015E-06 
-2.000007E-03 ,-4.151989E-04 
-7.450581E-09 , 0.1320781 
 1.999992E-03 , 0.1331826 
 3.999992E-03 , 0.1182067 
 5.999993E-03 , 0.1061481 
 7.999992E-03 , 9.295662E-02 
 9.999992E-03 , 8.370312E-02 
 1.199999E-02 , 7.787622E-02 
 1.399999E-02 , 6.877633E-02 
 1.599999E-02 , 6.692627E-02 
 1.799999E-02 , 5.996703E-02 
 1.999999E-02 , 5.424312E-02 
 2.199999E-02 , 5.311755E-02 
 2.399999E-02 , 4.798728E-02 
 2.599999E-02 , 4.557021E-02 
 2.799999E-02 , 4.321646E-02 
 2.999999E-02 , 4.182028E-02 
 3.199999E-02 , 0.0385469 
 3.399999E-02 , 3.603429E-02 
 3.599999E-02 , 3.519995E-02 
