, 530 
-40 ,-1.073393E-03 
-39.6 ,-1.566529E-03 
-39.2 ,-4.89858E-04 
-38.8 ,-5.79696E-04 
-38.4 , 8.597046E-04 
-38 , 6.795418E-04 
-37.6 ,-1.745688E-03 
-37.2 ,-6.694886E-04 
-36.8 , 1.844124E-04 
-36.4 , 1.844124E-04 
-36 ,-7.143914E-04 
-35.6 ,-5.347793E-04 
-35.2 , 2.743818E-04 
-34.8 ,-8.490449E-04 
-34.4 ,-3.101531E-04 
-34 , 4.502816E-06 
-33.6 , 1.897241E-03 
-33.2 ,-2.416971E-03 
-32.8 ,-1.252755E-03 
-32.4 ,-1.303738E-04 
-32 , 3.073095E-03 
-31.6 , 1.626352E-03 
-31.2 ,-1.252755E-03 
-30.8 , 1.716621E-03 
-30.4 , 1.400722E-03 
-30 , 1.844124E-04 
-29.6 , 1.626352E-03 
-29.2 ,-2.202862E-04 
-28.8 , 4.093842E-04 
-28.4 ,-4.046965E-05 
-28 , 9.443491E-05 
-27.6 , 5.894617E-04 
-27.2 , 2.982517E-03 
-26.8 ,-1.432071E-03 
-26.4 , 1.394213E-04 
-26 , 1.085053E-03 
-25.6 ,-1.028527E-03 
-25.2 ,-1.476895E-03 
-24.8 ,-1.028527E-03 
-24.4 , 4.99427E-04 
-24 , 1.039969E-03 
-23.6 ,-2.327539E-03 
-23.2 , 1.761775E-03 
-22.8 ,-8.543746E-05 
-22.4 ,-3.101531E-04 
-22 , 8.146703E-04 
-21.6 ,-4.89858E-04 
-21.2 ,-1.432071E-03 
-20.8 ,-3.55093E-04 
-20.4 , 4.502816E-06 
-20 , 1.394213E-04 
-19.6 , 4.093842E-04 
-19.2 ,-2.652353E-04 
-18.8 ,-2.202862E-04 
-18.4 , 2.293814E-04 
-18 ,-3.101531E-04 
-17.6 , 1.310519E-03 
-17.2 , 1.844124E-04 
-16.8 , 4.070539E-03 
-16.4 ,-1.028527E-03 
-16 ,-7.143914E-04 
-15.6 , 4.544033E-04 
-15.2 , 2.293814E-04 
-14.8 , 2.258707E-03 
-14.4 , 3.643698E-04 
-14 , 2.484757E-03 
-13.6 ,-2.103838E-03 
-13.2 , 2.743818E-04 
-12.8 , 1.220308E-03 
-12.4 , 2.743818E-04 
-12 ,-4.89858E-04 
-11.6 ,-0.0019248 
-11.2 ,-1.387269E-03 
-10.8 ,-8.939291E-04 
-10.4 ,-5.79696E-04 
-10 ,-9.836567E-04 
-9.6 ,-1.252755E-03 
-9.2 ,-8.543746E-05 
-8.8 ,-8.490449E-04 
-8.4 , 4.502816E-06 
-8 , 1.852072E-03 
-7.6 ,-4.046965E-05 
-7.2 ,-1.028527E-03 
-6.8 , 5.444286E-04 
-6.4 ,-1.252755E-03 
-6 , 9.443491E-05 
-5.6 ,-7.592894E-04 
-5.2 , 2.665697E-03 
-4.8 ,-7.143914E-04 
-4.4 , 4.502816E-06 
-4 ,-2.282802E-03 
-3.6 , 1.67147E-03 
-3.2 ,-8.490449E-04 
-2.8 , 1.17521E-03 
-2.4 , 2.303919E-03 
-2 ,-5.347793E-04 
-1.6 , 1.310519E-03 
-1.2 , 2.293814E-04 
-0.8 , 1.536075E-03 
-0.4 ,-6.694886E-04 
 0 , 0.102538 
 0.4 , 0.1460426 
 0.8 , 0.1457909 
 1.2 , 0.1378746 
 1.6 , 0.1355952 
 2 , 0.1336945 
 2.4 , 0.1314368 
 2.8 , 0.1300393 
 3.2 , 0.1227603 
 3.6 , 0.1195508 
 4 , 0.1163648 
 4.4 , 0.1158948 
 4.8 , 0.1114548 
 5.2 , 0.1087893 
 5.6 , 0.1087894 
 6 , 0.1059106 
 6.4 , 0.101912 
 6.8 , 9.727439E-02 
 7.2 , 0.1007196 
 7.6 , 0.094974 
 8 , 9.458246E-02 
 8.4 , 9.346575E-02 
 8.8 , 8.980078E-02 
 9.2 , 8.781467E-02 
 9.6 , 8.578284E-02 
 10 , 8.425149E-02 
 10.4 , 8.245365E-02 
 10.8 , 8.147611E-02 
 11.2 , 8.082564E-02 
 11.6 , 7.871833E-02 
 12 , 0.0757102 
 12.4 , 0.0736808 
 12.8 , 7.272279E-02 
 13.2 , 7.065435E-02 
 13.6 , 7.001986E-02 
 14 , 7.007271E-02 
 14.4 , 6.996702E-02 
 14.8 , 6.906993E-02 
 15.2 , 6.602297E-02 
 15.6 , 6.696626E-02 
 16 , 6.278931E-02 
 16.4 , 6.315321E-02 
 16.8 , 6.097446E-02 
 17.2 , 6.056072E-02 
 17.6 , 6.040566E-02 
 18 , 0.060199 
 18.4 , 5.968279E-02 
 18.8 , 5.675198E-02 
 19.2 , 5.685449E-02 
 19.6 , 5.577945E-02 
 20 , 5.480906E-02 
 20.4 , 0.0540445 
 20.8 , 5.236719E-02 
 21.2 , 4.933405E-02 
 21.6 , 5.241793E-02 
 22 , 5.130318E-02 
 22.4 , 5.099966E-02 
 22.8 , 5.044375E-02 
 23.2 , 4.802623E-02 
 23.6 , 4.687261E-02 
 24 , 4.732365E-02 
 24.4 , 4.777519E-02 
 24.8 , 4.672233E-02 
 25.2 , 4.467414E-02 
 25.6 , 4.677242E-02 
 26 , 4.587191E-02 
