, 530 
-0.4 , 1.019686E-03 
-0.392 ,-7.91428E-04 
-0.384 ,-7.91428E-04 
-0.376 ,-7.071487E-03 
-0.368 ,-2.144804E-03 
-0.36 ,-3.942796E-03 
-0.352 , 1.019686E-03 
-0.344 , 8.340626E-03 
-0.336 ,-3.044744E-03 
-0.328 ,-7.071487E-03 
-0.32 , 1.47364E-03 
-0.312 ,-2.59502E-03 
-0.304 ,-1.694147E-03 
-0.296 ,-3.494002E-03 
-0.288 ,-2.144804E-03 
-0.28 , 5.662054E-04 
-0.272 ,-3.494002E-03 
-0.264 ,-3.942796E-03 
-0.256 ,-3.494002E-03 
-0.248 , 5.122512E-03 
-0.24 , 0.0111181 
-0.232 , 1.019686E-03 
-0.224 ,-3.393369E-04 
-0.216 , 5.122512E-03 
-0.208 , 1.47364E-03 
-0.2 , 1.928096E-03 
-0.192 , 4.207429E-03 
-0.184 ,-7.91428E-04 
-0.176 ,-6.625916E-03 
-0.168 ,-7.91428E-04 
-0.16 , 1.928096E-03 
-0.152 ,-3.942796E-03 
-0.144 , 6.039554E-03 
-0.136 , 1.928096E-03 
-0.128 ,-7.91428E-04 
-0.12 , 1.019686E-03 
-0.112 , 2.838384E-03 
-0.104 , 1.47364E-03 
-9.600002E-02 , 5.662054E-04 
-8.800001E-02 , 1.47364E-03 
-8.000001E-02 ,-5.286428E-03 
-7.200001E-02 , 3.750583E-03 
-6.400001E-02 , 5.580777E-03 
-5.600001E-02 , 3.750583E-03 
-4.800002E-02 ,-3.494002E-03 
-4.000001E-02 ,-3.393369E-04 
-3.200001E-02 , 5.662054E-04 
-2.400002E-02 , 2.383001E-03 
-1.600001E-02 , 3.750583E-03 
-8.000014E-03 ,-2.238545E-02 
-1.490116E-08 ,-0.1576027 
 7.999985E-03 ,-0.1576027 
 1.599998E-02 ,-5.733375E-03 
 2.399999E-02 , 9.598533E-02 
 3.199998E-02 , 0.1312568 
 3.999998E-02 , 0.1449428 
 4.799999E-02 , 0.1294235 
 5.599998E-02 , 0.1312568 
 6.399998E-02 , 0.1312568 
 7.199998E-02 , 0.1197745 
 7.999998E-02 , 0.1173955 
 8.799998E-02 , 0.1039628 
 9.599999E-02 , 0.1045383 
 0.104 , 0.1028142 
 0.112 , 9.995575E-02 
 0.12 , 8.428726E-02 
 0.128 , 8.815172E-02 
 0.136 , 8.981851E-02 
 0.144 , 7.828321E-02 
 0.152 , 8.100204E-02 
 0.16 , 6.810414E-02 
 0.168 , 6.546462E-02 
 0.176 , 6.493864E-02 
 0.184 , 6.863397E-02 
 0.192 , 6.075354E-02 
 0.2 , 6.075354E-02 
 0.208 , 4.944823E-02 
 0.216 , 0.0484349 
 0.224 , 5.046389E-02 
 0.232 , 5.148197E-02 
 0.24 , 4.641537E-02 
 0.248 , 4.340352E-02 
 0.256 , 4.240421E-02 
 0.264 , 3.253548E-02 
 0.272 , 3.991592E-02 
 0.28 , 3.204786E-02 
 0.288 , 3.744182E-02 
 0.296 , 2.098158E-02 
 0.304 , 3.449135E-02 
 0.312 , 3.793551E-02 
 0.32 , 2.575842E-02 
 0.328 , 2.720175E-02 
 0.336 , 3.107432E-02 
 0.344 , 2.768396E-02 
 0.352 , 2.288601E-02 
 0.36 , 2.575842E-02 
 0.368 , 3.107432E-02 
 0.376 , 2.336342E-02 
 0.384 , 1.861273E-02 
 0.392 , 2.193276E-02 
 0.4 , 1.531791E-02 
 0.408 , 1.908549E-02 
 0.416 , 2.145692E-02 
 0.424 , 1.955874E-02 
 0.432 , 1.672693E-02 
 0.44 , 1.531791E-02 
 0.448 , 1.391345E-02 
 0.456 , 1.297967E-02 
 0.464 , 1.065395E-02 
 0.472 , 1.814051E-02 
 0.48 , 9.264468E-03 
 0.488 , 1.251354E-02 
 0.496 , 9.727128E-03 
 0.5039999 , 1.019028E-02 
 0.512 , 8.340626E-03 
 0.52 , 1.065395E-02 
 0.528 ,-3.393369E-04 
 0.536 , 6.498789E-03 
 0.544 , 1.204787E-02 
 0.552 , 0.0111181 
 0.5599999 , 9.727128E-03 
 0.568 , 1.204787E-02 
 0.576 , 9.264468E-03 
 0.584 , 1.928096E-03 
 0.5919999 , 7.418717E-03 
 0.6 , 7.418717E-03 
 0.608 , 7.418717E-03 
 0.616 , 1.928096E-03 
 0.624 , 9.264468E-03 
 0.632 , 1.131982E-04 
 0.64 , 7.879414E-03 
 0.6479999 , 1.251354E-02 
 0.656 , 1.928096E-03 
 0.664 , 6.958509E-03 
 0.672 , 1.158274E-02 
 0.6799999 , 6.498789E-03 
 0.688 , 7.418717E-03 
 0.696 , 7.418717E-03 
 0.704 , 6.958509E-03 
 0.712 , 6.958509E-03 
 0.72 , 1.47364E-03 
 0.728 , 1.47364E-03 
 0.7359999 , 6.958509E-03 
 0.744 , 1.204787E-02 
 0.752 , 6.039554E-03 
 0.76 , 1.019686E-03 
 0.7679999 ,-2.59502E-03 
 0.776 ,-2.59502E-03 
 0.784 , 9.264468E-03 
 0.792 , 1.204787E-02 
 0.8 ,-1.243022E-03 
 0.808 , 2.383001E-03 
 0.816 ,-2.59502E-03 
 0.8239999 ,-3.942796E-03 
 0.832 , 5.662054E-04 
 0.84 ,-1.694147E-03 
 0.848 ,-3.393369E-04 
 0.8559999 , 5.580777E-03 
 0.864 , 3.294244E-03 
 0.872 ,-1.243022E-03 
 0.88 , 2.383001E-03 
 0.888 , 1.47364E-03 
 0.896 ,-3.393369E-04 
 0.904 ,-6.179862E-03 
 0.9119999 , 4.207429E-03 
 0.92 , 5.580777E-03 
 0.928 ,-3.044744E-03 
 0.936 , 1.928096E-03 
 0.9439999 , 4.66473E-03 
 0.952 , 7.418717E-03 
 0.96 , 8.802301E-03 
 0.9679999 , 4.66473E-03 
 0.976 ,-5.733375E-03 
 0.984 , 2.383001E-03 
 0.992 , 5.662054E-04 
 0.9999999 ,-3.044744E-03 
 1.008 , 3.750583E-03 
 1.016 , 8.802301E-03 
 1.024 , 3.294244E-03 
 1.032 , 1.131982E-04 
 1.04 , 4.207429E-03 
 1.048 , 3.294244E-03 
 1.056 ,-1.243022E-03 
 1.064 , 1.019686E-03 
 1.072 , 2.383001E-03 
 1.08 , 2.838384E-03 
 1.088 , 6.958509E-03 
 1.096 , 4.66473E-03 
 1.104 , 9.727128E-03 
 1.112 ,-5.733375E-03 
 1.12 , 1.131982E-04 
 1.128 , 8.340626E-03 
 1.136 ,-7.071487E-03 
 1.144 , 1.47364E-03 
 1.152 , 2.383001E-03 
 1.16 ,-9.292536E-03 
 1.168 ,-7.96126E-03 
 1.176 , 3.750583E-03 
 1.184 , 6.958509E-03 
 1.192 ,-3.044744E-03 
 1.2 , 7.879414E-03 
