, 450 
-1034.8 , 0 
-1024.3 , 7.989141E-05 
-1014 , 3.389024E-05 
-1003.8 , 4.764387E-05 
-993.7 ,-2.726661E-05 
-983.7 , 5.626909E-05 
-973.8 ,-5.092742E-05 
-964 , 3.683282E-04 
-954.3 ,-2.099684E-04 
-944.7 , 4.487421E-04 
-935.1 ,-1.509415E-04 
-925.6 ,-3.425846E-04 
-916.2 , 2.16717E-05 
-906.9 ,-9.024578E-05 
-897.7 , 2.59886E-05 
-888.6 ,-2.0449E-04 
-879.6 , 1.899846E-04 
-870.7 ,-3.783284E-05 
-861.9 , 6.737693E-05 
-853.2 ,-3.70277E-04 
-844.6 ,-8.138851E-05 
-836 , 2.403603E-04 
-827.5 , 2.780546E-04 
-819.1 ,-2.121202E-04 
-810.8 ,-2.954285E-05 
-802.6 , 8.594794E-06 
-794.5 ,-2.745041E-04 
-786.5 , 1.524581E-06 
-778.5 ,-6.997151E-05 
-770.6 ,-1.810487E-05 
-762.8 ,-2.37093E-04 
-755.1 ,-1.451788E-04 
-747.5 , 6.599173E-05 
-739.9 , 7.051735E-05 
-732.4 , 1.673875E-04 
-725 , 1.839487E-04 
-717.6 ,-1.24237E-04 
-710.3 , 3.683564E-04 
-703.1 , 9.506093E-06 
-696 ,-2.167273E-04 
-689 ,-8.851117E-05 
-682 ,-2.556338E-04 
-675.1 ,-1.938408E-04 
-668.3 , 1.643079E-04 
-661.5 , 2.607987E-04 
-654.8 , 9.870515E-05 
-648.2 , 1.412861E-04 
-641.6 , 4.098082E-04 
-635.1 ,-1.330845E-05 
-628.7 , 1.379409E-04 
-622.3 ,-1.664996E-04 
-616 , 2.33466E-04 
-609.8 ,-1.424632E-04 
-603.6 ,-1.009198E-04 
-597.4 ,-1.639823E-04 
-591.3 ,-2.561091E-04 
-585.3 ,-6.566227E-05 
-579.3 ,-3.25993E-04 
-573.4 , 4.778013E-05 
-567.6 , 3.236304E-05 
-561.8 , 3.513083E-04 
-556.1 , 4.690787E-04 
-550.5 ,-1.596215E-04 
-544.9 ,-8.566385E-05 
-539.3 ,-3.620052E-04 
-533.8 ,-1.148618E-04 
-528.4 , 2.137832E-04 
-523 ,-2.107525E-04 
-517.6 ,-2.20195E-04 
-512.3 , 4.869481E-04 
-507.1 ,-1.468927E-04 
-501.9 ,-4.185566E-04 
-496.8 ,-2.003994E-04 
-491.8 , 2.548737E-04 
-486.8 , 5.97843E-05 
-481.8 ,-1.689284E-04 
-476.9 ,-7.159254E-06 
-472.1 , 1.429038E-04 
-467.3 ,-2.399858E-04 
-462.5 , 1.381323E-04 
-457.7 , 1.337741E-04 
-453 ,-6.723717E-05 
-448.4 ,-4.459616E-05 
-443.8 ,-3.436839E-04 
-439.2 , 1.676898E-04 
-434.7 , 2.295229E-06 
-430.3 ,-2.022639E-04 
-425.9 , 3.386532E-05 
-421.5 ,-7.186844E-05 
-417.2 ,-1.065473E-04 
-413 ,-1.762848E-04 
-408.8 , 3.027694E-05 
-404.6 ,-2.744811E-04 
-400.4 ,-1.260651E-04 
-396.3 ,-3.710905E-04 
-392.3 , 2.358499E-04 
-388.3 , 7.057776E-05 
-384.3 , 4.826507E-05 
-380.3 ,-1.368213E-04 
