, 530 
-1 ,-3.041931E-04 
-0.99 ,-7.116916E-04 
-0.98 ,-3.041931E-04 
-0.97 , 9.660671E-04 
-0.96 ,-1.390034E-03 
-0.95 ,-2.743549E-03 
-0.94 ,-3.50866E-03 
-0.93 , 1.921206E-03 
-0.92 , 2.397609E-04 
-0.91 ,-2.698493E-03 
-0.9 ,-6.211784E-04 
-0.89 , 1.037153E-04 
-0.88 ,-1.209245E-03 
-0.87 ,-9.831721E-04 
-0.86 ,-1.886811E-03 
-0.85 , 3.198029E-03 
-0.84 , 5.573755E-04 
-0.83 ,-1.977088E-03 
-0.82 ,-3.148767E-03 
-0.81 ,-2.833621E-03 
-0.8 , 1.46612E-03 
-0.79 ,-1.435227E-03 
-0.78 , 1.46612E-03 
-0.77 , 1.943986E-04 
-0.76 ,-1.525571E-03 
-0.75 ,-1.480414E-03 
-0.74 , 2.832839E-03 
-0.73 , 7.389778E-04 
-0.72 , 3.061027E-03 
-0.71 ,-4.400684E-04 
-0.7 ,-3.231476E-05 
-0.69 ,-1.02838E-03 
-0.68 ,-8.474665E-04 
-0.67 , 1.037153E-04 
-0.66 , 2.28563E-03 
-0.65 , 3.243679E-03 
-0.64 , 3.152357E-03 
-0.63 , 1.302385E-05 
-0.62 ,-6.211784E-04 
-0.61 , 1.375171E-03 
-0.6 , 7.843699E-04 
-0.59 , 1.490411E-04 
-0.58 , 1.921206E-03 
-0.57 ,-3.283782E-03 
-0.56 ,-4.990058E-03 
-0.55 , 1.42063E-03 
-0.54 , 6.027487E-04 
-0.53 ,-5.482737E-03 
-0.52 ,-5.527505E-03 
-0.51 , 3.758491E-04 
-0.5 , 3.426408E-03 
-0.49 ,-6.664509E-04 
-0.48 , 3.47211E-03 
-0.47 , 2.422361E-03 
-0.46 , 2.331211E-03 
-0.45 , 3.746363E-03 
-0.44 , 3.758491E-04 
-0.43 ,-1.390034E-03 
-0.42 ,-3.013736E-03 
-0.41 , 2.969743E-03 
-0.4 , 3.243679E-03 
-0.39 , 1.46612E-03 
-0.38 ,-2.202644E-03 
-0.37 ,-5.079665E-03 
-0.36 ,-1.931952E-03 
-0.35 , 1.693617E-03 
-0.34 , 3.758491E-04 
-0.33 , 5.94673E-03 
-0.32 , 4.24963E-03 
-0.31 ,-3.231476E-05 
-0.3 ,-7.762162E-05 
-0.29 , 5.573755E-04 
-0.28 ,-1.299662E-03 
-0.27 , 1.238769E-03 
-0.26 , 2.194509E-03 
-0.25 , 6.935633E-04 
-0.24 , 1.193302E-03 
-0.23 ,-3.913192E-03 
-0.22 ,-2.473194E-03 
-0.21 ,-1.682752E-04 
-0.2 ,-4.400684E-04 
-0.19 , 1.375171E-03 
-0.18 , 1.14784E-03 
-0.17 , 3.304726E-04 
-0.16 ,-3.231476E-05 
-0.15 ,-4.182652E-03 
-0.14 ,-2.743549E-03 
-0.13 ,-1.229508E-04 
-0.12 ,-8.926885E-04 
-0.11 ,-4.54169E-03 
-0.1 ,-3.373742E-03 
-0.09 , 5.074413E-03 
-0.08 ,-4.182652E-03 
-0.07 , 1.490411E-04 
-0.06 ,-1.390034E-03 
-0.05 , 1.302385E-05 
-0.04 , 3.061027E-03 
-0.03 ,-7.569547E-04 
-0.02 ,-2.112441E-03 
-0.01 ,-0.1304199 
