, 530 
-0.4 , 2.506095E-03 
-0.392 ,-6.985759E-03 
-0.384 , 5.256622E-03 
-0.376 ,-1.134339E-03 
-0.368 ,-2.03972E-03 
-0.36 , 2.963299E-03 
-0.352 , 1.593128E-03 
-0.344 , 3.879181E-03 
-0.336 , 5.716732E-03 
-0.328 ,-2.94319E-03 
-0.32 ,-1.587279E-03 
-0.312 , 3.879181E-03 
-0.304 , 1.137364E-03 
-0.296 ,-5.193703E-03 
-0.288 , 1.137364E-03 
-0.28 ,-6.809534E-04 
-0.272 , 6.17733E-03 
-0.264 , 2.506095E-03 
-0.256 ,-4.744538E-03 
-0.248 , 3.879181E-03 
-0.24 ,-1.587279E-03 
-0.232 ,-1.587279E-03 
-0.224 , 3.421012E-03 
-0.216 , 2.049372E-03 
-0.208 , 1.137364E-03 
-0.2 ,-6.809534E-04 
-0.192 , 2.2724E-04 
-0.184 , 1.137364E-03 
-0.176 , 2.2724E-04 
-0.168 ,-6.090669E-03 
-0.16 , 1.593128E-03 
-0.152 , 6.8205E-04 
-0.144 ,-2.49169E-03 
-0.136 ,-3.844811E-03 
-0.128 ,-4.294907E-03 
-0.12 ,-3.844811E-03 
-0.112 , 5.716732E-03 
-0.104 ,-4.744538E-03 
-9.600002E-02 ,-5.193703E-03 
-8.800001E-02 , 3.421012E-03 
-8.000001E-02 , 3.879181E-03 
-7.200001E-02 ,-1.587279E-03 
-6.400001E-02 ,-2.49169E-03 
-5.600001E-02 , 1.593128E-03 
-4.800002E-02 , 1.593128E-03 
-4.000001E-02 ,-2.03972E-03 
-3.200001E-02 , 4.796971E-03 
-2.400002E-02 , 2.963299E-03 
-1.600001E-02 ,-1.587279E-03 
-8.000014E-03 ,-5.193703E-03 
-1.490116E-08 ,-0.1586455 
 7.999985E-03 ,-0.1586455 
 1.599998E-02 ,-9.345419E-02 
 2.399999E-02 , 6.533086E-02 
 3.199998E-02 , 0.118642 
 3.999998E-02 , 0.1198378 
 4.799999E-02 , 0.1252599 
 5.599998E-02 , 0.1240491 
 6.399998E-02 , 0.1192395 
 7.199998E-02 , 0.1162603 
